ANO,UF,Código IBGE ,Município,Nº do Decreto,Data do Decreto,Desastre,SE/ECP,Nº da Portaria,Data da Portaria
2009,CE,2310001,PALHANO,29744,19/05/09,INUNDAÇÕES,SE,1022,25/11/09
2009,CE,2310100,PALMÁCIA,29772,01/06/09,ENXURRADAS,SE,1120,23/12/09
2009,CE,2310506,PEDRA BRANCA,-,-,ESTIAGEM,SE,032,-
2009,CE,2310506,PEDRA BRANCA,29772,01/06/09,ENXURRADAS,SE,1120,23/12/09
2009,CE,2310704,PENTECOSTE,-,-,ESTIAGEM,SE,354,-
2009,CE,2310704,PENTECOSTE,29744,19/05/09,INUNDAÇÕES,SE,1070,09/12/09
2009,CE,2310852,PINDORETAMA,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2310902,PIQUET CARNEIRO,-,-,ESTIAGEM,SE,259,-
2009,CE,2310902,PIQUET CARNEIRO,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2310951,PIRES FERREIRA,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2311231,POTIRETAMA,-,-,ESTIAGEM,SE,206,-
2009,CE,2311231,POTIRETAMA,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2311264,QUITERIANÓPOLIS,-,-,ESTIAGEM,SE,494,-
2009,CE,2311264,QUITERIANÓPOLIS,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2311306,QUIXADÁ,-,-,ESTIAGEM,SE,082,-
2009,CE,2311306,QUIXADÁ,29771,01/06/09,INUNDAÇÕES,SE,1074,10/12/09
2009,CE,2311355,QUIXELÔ,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2311405,QUIXERAMOBIM,-,-,ESTIAGEM,SE,355,-
2009,CE,2311405,QUIXERAMOBIM,-,-,INUNDAÇÕES,SE,842,-
2009,CE,2311504,QUIXERÉ,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2311603,REDENÇÃO,29772,01/06/09,ENXURRADAS,SE,1120,23/12/09
2009,CE,2311702,RERIUTABA,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2311801,RUSSAS,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
2009,CE,2311900,SABOEIRO,29771,01/06/09,INUNDAÇÕES,SE,1105,18/12/09
